UID,Text,Parent UID,Parent Text,Hierarchy Path
"M4ZaEaPrq","When a facility is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that facility during the selected date range. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a facility is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that facility during the selected date range. #Manual"
"akeVun7kd","When a provider is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that provider during the selected date range. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a provider is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that provider during the selected date range. #Manual"
"CONnTvDLE","When a service category is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that service category during the selected date range. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a service category is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that service category during the selected date range. #Manual"
"fS25cEeEl","When a service is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that service during the selected date range. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a service is selected, the ""Referred Clients"" card must only count referred clients whose first completed appointment is linked to that service during the selected date range. #Manual"
"1aiejoVZ2","When a referred client has multiple completed appointments, the ""Referred Clients"" card must count the client only once based on their first completed appointment date. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a referred client has multiple completed appointments, the ""Referred Clients"" card must count the client only once based on their first completed appointment date. #Manual"
"FBfP7hf9J","When a referred client’s first appointment is cancelled, no-show, or pending, the ""Referred Clients"" card must not count them until their first completed appointment is recorded. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a referred client’s first appointment is cancelled, no-show, or pending, the ""Referred Clients"" card must not count them until their first completed appointment is recorded. #Manual"
"Xa1bxviBa","When a new client completes their first appointment but has no referral details or referral type other than Friends, Family, Colleague, or Medical Provider, the ""Referred Clients"" card must not count them. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When a new client completes their first appointment but has no referral details or referral type other than Friends, Family, Colleague, or Medical Provider, the ""Referred Clients"" card must not count them. #Manual"
"jM6sY9Y56","When no referred clients exist for the applied filters and date range, the ""Referred Clients"" card must display a count of zero. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When no referred clients exist for the applied filters and date range, the ""Referred Clients"" card must display a count of zero. #Manual"
"m7ICc8TK1","When multiple filters (facility, provider, service category, service) are applied together, the ""Referred Clients"" card must only count referred clients whose first completed appointment matches all selected filters within the date range. #Manual","ETmSYrJLl","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Referred Clients > Screen 1: > Test Cases > When multiple filters (facility, provider, service category, service) are applied together, the ""Referred Clients"" card must only count referred clients whose first completed appointment matches all selected filters within the date range. #Manual"
"FIUIzFreL","","hhclWM6Lt","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Appoinment Analyrics ( Provider Metrics/Facility Metrics - Appointment Summary Graph) > Screen 1: > Test Cases > "
"foW-5WRzb","When I open the ""Today's Birthdays"" section, I should see all clients whose date of birth matches today's date, along with their name and ID. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I open the ""Today's Birthdays"" section, I should see all clients whose date of birth matches today's date, along with their name and ID. #Manual"
"UZ9LH7cB7","When I click on the ""Send Wishes"" button for a client listed under ""Today's Birthdays,"" a toast message *""Wishes sent""* should be displayed. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I click on the ""Send Wishes"" button for a client listed under ""Today's Birthdays,"" a toast message *""Wishes sent""* should be displayed. #Manual"
"rJDqJQfDK","When I send birthday wishes to a client with a registered email, they should receive a birthday wishes email in their inbox. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I send birthday wishes to a client with a registered email, they should receive a birthday wishes email in their inbox. #Manual"
"o_l6f5ZPj","When I log in to the client’s registered email account and check the inbox, I should see the birthday wishes email received from the system. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I log in to the client’s registered email account and check the inbox, I should see the birthday wishes email received from the system. #Manual"
"PGW95aND5","When I attempt to send birthday wishes to a client without a registered email, the system should not allow sending and should display an appropriate error message (e.g., *""No email registered for this client""*). #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I attempt to send birthday wishes to a client without a registered email, the system should not allow sending and should display an appropriate error message (e.g., *""No email registered for this client""*). #Manual"
"Tt76tlPoy","When I click the ""Send Wishes"" button for a client, the button should immediately become disabled and should not be clickable again. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I click the ""Send Wishes"" button for a client, the button should immediately become disabled and should not be clickable again. #Manual"
"8I7KXUWdA","When I send wishes as an Admin, the ""Send Wishes"" button for that client should also be disabled for any Provider who logs in and views the same client. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I send wishes as an Admin, the ""Send Wishes"" button for that client should also be disabled for any Provider who logs in and views the same client. #Manual"
"EW2wE1Iqm","When I send wishes as a Provider, the ""Send Wishes"" button for that client should also be disabled for any Admin who logs in and views the same client. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I send wishes as a Provider, the ""Send Wishes"" button for that client should also be disabled for any Admin who logs in and views the same client. #Manual"
"oDffVyzVP","When I refresh or revisit the ""Today's Birthdays"" list after sending wishes, the ""Send Wishes"" button for that client should remain disabled. #Manual","QdLjGsROU","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Birthdays Validation > Screen 1: > Test Cases > When I refresh or revisit the ""Today's Birthdays"" list after sending wishes, the ""Send Wishes"" button for that client should remain disabled. #Manual"
"oLqsoWlJO","When I log in as an admin and navigate to the dashboard, I should see all appointments scheduled for today listed in the ""Today's Appointments"" section, regardless of the provider. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as an admin and navigate to the dashboard, I should see all appointments scheduled for today listed in the ""Today's Appointments"" section, regardless of the provider. #Manual"
"KlnDT_m9V","When I log in as a provider and navigate to the dashboard, I should see only the appointments scheduled for today for the logged-in provider in the ""Today's Appointments"" section. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as a provider and navigate to the dashboard, I should see only the appointments scheduled for today for the logged-in provider in the ""Today's Appointments"" section. #Manual"
"RFUk54i0F","When I log in as a provider and no appointments exist for today, I should see the message ""Currently, there are no appointments scheduled for today."" displayed in the ""Today's Appointments"" section. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as a provider and no appointments exist for today, I should see the message ""Currently, there are no appointments scheduled for today."" displayed in the ""Today's Appointments"" section. #Manual"
"QA-Ok7sSZ","When I log in as an admin, navigate to the dashboard, and click ""View Details"" for any appointment in the ""Today's Appointments"" section, I should see the complete and correct appointment details displayed. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as an admin, navigate to the dashboard, and click ""View Details"" for any appointment in the ""Today's Appointments"" section, I should see the complete and correct appointment details displayed. #Manual"
"-K8U1Ab35","When I log in as a provider, navigate to the dashboard, and click ""View Details"" for any appointment in the ""Today's Appointments"" section, I should see the complete and correct appointment details displayed. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as a provider, navigate to the dashboard, and click ""View Details"" for any appointment in the ""Today's Appointments"" section, I should see the complete and correct appointment details displayed. #Manual"
"FShOc8Xec","When I log in as a provider, I should not see any appointments scheduled for other providers in the ""Today's Appointments"" section. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as a provider, I should not see any appointments scheduled for other providers in the ""Today's Appointments"" section. #Manual"
"VcxyNOAZt","When I log in as an admin and there are no appointments scheduled for today, I should see the message ""Currently, there are no appointments scheduled for today."" displayed. #Manual","CYzm90Zza","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Today's Appointments Validation > Sreen 1: > Test Cases > When I log in as an admin and there are no appointments scheduled for today, I should see the message ""Currently, there are no appointments scheduled for today."" displayed. #Manual"
"EJcReVvk2","When I log in as a user and there are no new messages from the admin, then the default message configured by the admin must be displayed in the message board. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When I log in as a user and there are no new messages from the admin, then the default message configured by the admin must be displayed in the message board. #Manual"
"8tsdRPa9a","When I log in as a user and the admin has added a new message, then the new message must be displayed in the message board with a timestamp (e.g., ""04:03 AM, 29-Nov-2024""). #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When I log in as a user and the admin has added a new message, then the new message must be displayed in the message board with a timestamp (e.g., ""04:03 AM, 29-Nov-2024""). #Manual"
"Km_cPjnQT","When I log in as a user and the message has passed its configured expiration period, then the message must no longer be displayed in the message board. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When I log in as a user and the message has passed its configured expiration period, then the message must no longer be displayed in the message board. #Manual"
"CPldFFpTj","When the admin edits the default message, then the updated default message must be visible throughout the portal, including when a provider logs in. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When the admin edits the default message, then the updated default message must be visible throughout the portal, including when a provider logs in. #Manual"
"dmfc-4aqR","When the admin edits a default or new message, then the updated message must be shown in the message board with the latest timestamp for both admin and provider logins. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When the admin edits a default or new message, then the updated message must be shown in the message board with the latest timestamp for both admin and provider logins. #Manual"
"pid0Bpi5p","When a new message expires, then the default message must automatically be shown in the message board. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When a new message expires, then the default message must automatically be shown in the message board. #Manual"
"nLPCYU0Ts","When the admin deletes a default message from the message board, then it must be removed from the board but still be visible in the **History** of the admin module. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When the admin deletes a default message from the message board, then it must be removed from the board but still be visible in the **History** of the admin module. #Manual"
"MdWmxIZcJ","When the admin deletes a default message from the **History** in the admin module, then the message must be permanently deleted and no longer available anywhere. #Manual","iXxL10dAM","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Message Board Validation > Test Cases > When the admin deletes a default message from the **History** in the admin module, then the message must be permanently deleted and no longer available anywhere. #Manual"
"yaMEK0nYs","When I submit the client details form with all mandatory fields empty, required errors must be shown for each mandatory field. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I submit the client details form with all mandatory fields empty, required errors must be shown for each mandatory field. #Manual"
"GfLI15Hz7","When I leave all mandatory fields blank and click Save, error messages must be displayed for all mandatory fields. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I leave all mandatory fields blank and click Save, error messages must be displayed for all mandatory fields. #Manual"
"SQnwSoAoW","When I leave non-mandatory fields blank and submit, no error messages must be displayed and the form must save successfully. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I leave non-mandatory fields blank and submit, no error messages must be displayed and the form must save successfully. #Manual"
"F0O86AT4n","When I uncheck the ""Do not send onboarding email"" checkbox and click ""Send Onboarding Email,"" an onboarding email must be sent to the client with a registration link. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I uncheck the ""Do not send onboarding email"" checkbox and click ""Send Onboarding Email,"" an onboarding email must be sent to the client with a registration link. #Manual"
"5MNG77Z-O","When I check the ""Do not send onboarding email"" checkbox and proceed, no onboarding email must be sent and the client must be assigned the default onboarding flow. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I check the ""Do not send onboarding email"" checkbox and proceed, no onboarding email must be sent and the client must be assigned the default onboarding flow. #Manual"
"-GtCoOJs2","When the ""Do not send onboarding email"" checkbox is unchecked, the ""Send Onboarding Email"" button must be enabled. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When the ""Do not send onboarding email"" checkbox is unchecked, the ""Send Onboarding Email"" button must be enabled. #Manual"
"PRlbqV05D","When I check the ""Do not send onboarding email"" checkbox and proceed, the client must be assigned the default onboarding flow without forms. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I check the ""Do not send onboarding email"" checkbox and proceed, the client must be assigned the default onboarding flow without forms. #Manual"
"Gz0NrJhxp","When a client books their first Therapy Service appointment, the onboarding flow must include Therapy-specific forms and details. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When a client books their first Therapy Service appointment, the onboarding flow must include Therapy-specific forms and details. #Manual"
"EBojgbeW-","When a client books their first Performance Training appointment, the onboarding flow must include Performance Training-specific forms and details. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When a client books their first Performance Training appointment, the onboarding flow must include Performance Training-specific forms and details. #Manual"
"lOy5tH9ew","When I click ""Send Credentials"" after adding a client with default onboarding flow, login credentials must be sent to the client’s email. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I click ""Send Credentials"" after adding a client with default onboarding flow, login credentials must be sent to the client’s email. #Manual"
"tKJZ-q-rg","When I add a client (with or without onboarding email), a welcome email must be sent to the client’s email. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I add a client (with or without onboarding email), a welcome email must be sent to the client’s email. #Manual"
"GpOsG9_Ju","When I check the ""Add Alias Name"" checkbox, ""Alias First Name"" and ""Alias Last Name"" fields must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I check the ""Add Alias Name"" checkbox, ""Alias First Name"" and ""Alias Last Name"" fields must be displayed. #Manual"
"ybgTgiLB2","When I leave alias fields blank with ""Add Alias Name"" checked and save, error messages for alias names must be shown. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I leave alias fields blank with ""Add Alias Name"" checked and save, error messages for alias names must be shown. #Manual"
"tE96auxqo","When I uncheck the ""Add Alias Name"" checkbox, alias fields must be hidden and cleared. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I uncheck the ""Add Alias Name"" checkbox, alias fields must be hidden and cleared. #Manual"
"ThvMAayt7","When alias names are entered and ""Add Alias Name"" is checked, alias names must replace the real client name wherever displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When alias names are entered and ""Add Alias Name"" is checked, alias names must replace the real client name wherever displayed. #Manual"
"VE0G-IcgT","When alias names are entered and ""Add Alias Name"" is checked, the real client name must be displayed as ""*****"". #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When alias names are entered and ""Add Alias Name"" is checked, the real client name must be displayed as ""*****"". #Manual"
"RYCErsM53","When the ""Add Alias Name"" checkbox is unchecked, alias fields must be optional and not block form submission. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When the ""Add Alias Name"" checkbox is unchecked, alias fields must be optional and not block form submission. #Manual"
"FFf_lbcW5","When alias names are entered but the ""Add Alias Name"" checkbox is unchecked before submission, alias names must not be saved. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When alias names are entered but the ""Add Alias Name"" checkbox is unchecked before submission, alias names must not be saved. #Manual"
"4lVYSNWm_","When I enter invalid characters (letters, special characters, spaces) in the SSN field and save, an error message ""Enter valid SSN Number"" must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter invalid characters (letters, special characters, spaces) in the SSN field and save, an error message ""Enter valid SSN Number"" must be displayed. #Manual"
"SPukxOYVw","When I enter alphabetic characters, special characters, or spaces in the SSN field and click Save, an error message ""Enter valid SSN Number"" must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter alphabetic characters, special characters, or spaces in the SSN field and click Save, an error message ""Enter valid SSN Number"" must be displayed. #Manual"
"lZla1KYQ4","When I enter more than 9 digits in the SSN field and click Save, an error message ""SSN cannot be more than 9-digits"" must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter more than 9 digits in the SSN field and click Save, an error message ""SSN cannot be more than 9-digits"" must be displayed. #Manual"
"ykvQDEiGI","When I enter exactly 9 digits in the SSN field and click Save, the SSN must be saved successfully and displayed as **** in view mode. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter exactly 9 digits in the SSN field and click Save, the SSN must be saved successfully and displayed as **** in view mode. #Manual"
"7G1dkQS-r","When I enter alphabetic characters, special characters, or spaces in the ZIP Code field, the system must restrict input to numbers only. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter alphabetic characters, special characters, or spaces in the ZIP Code field, the system must restrict input to numbers only. #Manual"
"lPoSWb1U-","When I enter more than 5 digits in the ZIP Code field, the system must restrict entry to 5 digits only. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter more than 5 digits in the ZIP Code field, the system must restrict entry to 5 digits only. #Manual"
"gEVXXW1QG","When I enter less than 5 digits in the ZIP Code field and click Save, an error message ""Enter a valid ZIP Code"" must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter less than 5 digits in the ZIP Code field and click Save, an error message ""Enter a valid ZIP Code"" must be displayed. #Manual"
"jqGw8G32H","When I enter valid data in all fields of the Client Details form and click Save, the details must be saved successfully. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I enter valid data in all fields of the Client Details form and click Save, the details must be saved successfully. #Manual"
"GeIVmchRg","When I open a client’s profile, the ""Client Details"" tab must be selected by default and its content must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I open a client’s profile, the ""Client Details"" tab must be selected by default and its content must be displayed. #Manual"
"t8_DtxvA7","When I click the ""Account Details"" tab in the client profile, the Account Details content must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I click the ""Account Details"" tab in the client profile, the Account Details content must be displayed. #Manual"
"x78NKIQIV","When I click the ""Activity Log"" tab in the client profile, the Activity Log content must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I click the ""Activity Log"" tab in the client profile, the Activity Log content must be displayed. #Manual"
"gP3kie5t9","When I switch between ""Client Details,"" ""Account Details,"" and ""Activity Log"" tabs, the tabs must switch seamlessly and display the correct content. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I switch between ""Client Details,"" ""Account Details,"" and ""Activity Log"" tabs, the tabs must switch seamlessly and display the correct content. #Manual"
"KcHTQp8iO","When I switch between tabs in the client profile, the selected tab must be visually highlighted as active. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I switch between tabs in the client profile, the selected tab must be visually highlighted as active. #Manual"
"8I0_0fd9_","When I open the Account Details tab, ""Email"" must be selected by default for Appointment Reminders and Appointment Confirmations. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I open the Account Details tab, ""Email"" must be selected by default for Appointment Reminders and Appointment Confirmations. #Manual"
"W7RG3jXp5","When I select ""Only SMS,"" ""Only Email,"" ""SMS/Email,"" or ""Not Required"" for Appointment Reminders or Confirmations, the selected option must be updated correctly and ""Not Required"" must prevent sending reminders or confirmations. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I select ""Only SMS,"" ""Only Email,"" ""SMS/Email,"" or ""Not Required"" for Appointment Reminders or Confirmations, the selected option must be updated correctly and ""Not Required"" must prevent sending reminders or confirmations. #Manual"
"qtfuQIayI","When I save selected Appointment Reminder and Confirmation preferences, the saved options must be displayed correctly in view mode. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I save selected Appointment Reminder and Confirmation preferences, the saved options must be displayed correctly in view mode. #Manual"
"lz0nKY0_j","When I open the Account Details tab, no referral option must be selected by default in edit mode and ""N/A"" must be shown in view mode. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I open the Account Details tab, no referral option must be selected by default in edit mode and ""N/A"" must be shown in view mode. #Manual"
"KyYY1kOAG","When I select ""Friends, Family, Colleague, or Medical Provider"" as referral option, mandatory fields (First Name, Last Name, Phone Number, Email, Relationship) must be displayed. #Manual","fuAk9EndE","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Clients >  > Screen 1: > Test Cases > When I select ""Friends, Family, Colleague, or Medical Provider"" as referral option, mandatory fields (First Name, Last Name, Phone Number, Email, Relationship) must be displayed. #Manual"
